ID,hcscore,year,Codable,Rand_ord,gender,race,education,pwb_pmean,pwb_pmc,pwb_z,neur,extra,consc,agree,open,neur_z,extra_z,consc_z,agree_z,open_z,lgs_m,lgs._t,iwah_a,iwah_c,iwah_w,iwah_m,income,psm_m,ag_m,con_m,ext_m,neuro_m,open_m
5,3,1,1,0.723532066,1,1,3,3.687830688,-0.44973545,-2.442645485,3.694444444,2.277777778,3.5,3.611111111,3.388888889,2.167913542,-2.398874525,-0.74114806,-0.747809203,-0.216054501,1.35,27,NA,NA,NA,NA,4,2.5,3.58333333,3.75,2.25,3.91666667,3.5
5,3,2,1,0.049195502,1,NA,NA,3.687830688,0.312169312,-1.319901511,3.694444444,2.277777778,3.5,3.611111111,3.388888889,2.167913542,-2.398874525,-0.74114806,-0.747809203,-0.216054501,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
5,3,3,1,0.560197041,1,NA,NA,3.687830688,0.455026455,-1.109387016,3.694444444,2.277777778,3.5,3.611111111,3.388888889,2.167913542,-2.398874525,-0.74114806,-0.747809203,-0.216054501,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
5,3,4,1,0.36901342,1,NA,NA,3.687830688,-0.378306878,-2.337388237,3.694444444,2.277777778,3.5,3.611111111,3.388888889,2.167913542,-2.398874525,-0.74114806,-0.747809203,-0.216054501,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
5,3,5,1,0.505837401,1,NA,NA,3.687830688,0.026455026,-1.740930501,3.694444444,2.277777778,3.5,3.611111111,3.388888889,2.167913542,-2.398874525,-0.74114806,-0.747809203,-0.216054501,0.9,18,NA,NA,NA,NA,4,NA,3.75,3.16666667,2.33333333,3.75,3.5
5,3,6,1,0.693101041,1,NA,NA,3.687830688,-0.14021164,-1.986530745,3.694444444,2.277777778,3.5,3.611111111,3.388888889,2.167913542,-2.398874525,-0.74114806,-0.747809203,-0.216054501,NA,NA,3.666666667,2.777777778,1.888888889,2.777777778,4,NA,NA,NA,NA,NA,NA
5,3,7,1,0.085616554,1,NA,NA,3.687830688,0.05026455,-1.705844752,3.694444444,2.277777778,3.5,3.611111111,3.388888889,2.167913542,-2.398874525,-0.74114806,-0.747809203,-0.216054501,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
5,3,8,1,0.858482148,1,NA,NA,3.687830688,0.002645503,-1.77601625,3.694444444,2.277777778,3.5,3.611111111,3.388888889,2.167913542,-2.398874525,-0.74114806,-0.747809203,-0.216054501,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
5,3,9,1,0.305463128,1,NA,NA,3.687830688,0.121693122,-1.600587505,3.694444444,2.277777778,3.5,3.611111111,3.388888889,2.167913542,-2.398874525,-0.74114806,-0.747809203,-0.216054501,0.95,19,NA,NA,NA,NA,3,NA,3.5,3.58333333,2.25,3.41666667,3.16666667
6,2,1,1,0.20975154,1,1,4,5.058201058,0.060846561,0.329128699,2.138888889,3.222222222,3.583333333,4.138888889,3.305555556,-0.268261149,-0.468591282,-0.584983953,0.491801728,-0.393581809,2.35,47,NA,NA,NA,NA,4,3.41666667,4.25,3.75,3.08333333,2.33333333,3.5
6,2,2,1,0.810360057,1,NA,NA,5.058201058,0.322751323,0.71507194,2.138888889,3.222222222,3.583333333,4.138888889,3.305555556,-0.268261149,-0.468591282,-0.584983953,0.491801728,-0.393581809,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
6,2,3,1,0.815923677,1,NA,NA,5.058201058,-0.32010582,-0.232243287,2.138888889,3.222222222,3.583333333,4.138888889,3.305555556,-0.268261149,-0.468591282,-0.584983953,0.491801728,-0.393581809,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
6,2,4,1,0.344839473,1,NA,NA,5.058201058,0.203703704,0.539643194,2.138888889,3.222222222,3.583333333,4.138888889,3.305555556,-0.268261149,-0.468591282,-0.584983953,0.491801728,-0.393581809,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
6,2,5,1,0.312564167,1,NA,NA,5.058201058,-0.272486772,-0.162071789,2.138888889,3.222222222,3.583333333,4.138888889,3.305555556,-0.268261149,-0.468591282,-0.584983953,0.491801728,-0.393581809,2.5,50,NA,NA,NA,NA,5,NA,4.08333333,3.75,3.41666667,1.91666667,3.33333333
6,2,6,1,0.900325629,1,NA,NA,5.058201058,0.013227513,0.258957201,2.138888889,3.222222222,3.583333333,4.138888889,3.305555556,-0.268261149,-0.468591282,-0.584983953,0.491801728,-0.393581809,NA,NA,3.222222222,4.777777778,2,3.333333333,4,NA,NA,NA,NA,NA,NA
6,2,7,1,0.512477356,1,NA,NA,5.058201058,0.132275132,0.434385947,2.138888889,3.222222222,3.583333333,4.138888889,3.305555556,-0.268261149,-0.468591282,-0.584983953,0.491801728,-0.393581809,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
6,2,8,1,0.032314848,1,NA,NA,5.058201058,0.227513228,0.574728944,2.138888889,3.222222222,3.583333333,4.138888889,3.305555556,-0.268261149,-0.468591282,-0.584983953,0.491801728,-0.393581809,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
